gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Female,1.0,1.0,6.55,42.3,390.4,0.2357,0.964,3.66,3.533
Male,0.0,0.0,6.43,22.4,540.1,1.4947,0.464,3.773,3.867
Male,0.0,0.0,7.37,23.1,373.5,0.0706,1.0,3.803,3.944
Female,0.0,0.0,7.53,51.9,316.2,0.143,0.893,3.333,2.533
Male,0.0,0.0,7.49,36.7,381.0,0.0428,0.714,3.987,3.917
Female,1.0,0.0,5.59,52.9,365.3,0.1415,1.0,3.356,2.871
Male,0.0,0.0,7.06,31.9,490.7,0.1684,0.929,3.239,3.633
Female,0.0,0.0,6.54,39.4,359.1,0.3245,0.964,3.955,3.964
Female,1.0,1.0,6.15,97.9,329.5,0.1132,1.0,2.7,3.0
Male,1.0,1.0,6.13,48.5,382.6,1.2089,0.821,2.9,3.15
Female,0.0,0.0,6.55,23.2,319.6,0.0545,1.0,3.58,3.967
Male,1.0,0.0,6.7,65.3,404.6,0.0837,0.893,3.35,3.769
Female,0.0,0.0,6.78,22.6,398.9,0.0989,1.0,3.914,3.953
Male,0.0,0.0,5.78,60.8,435.3,1.5523,1.0,3.609,3.441
Female,0.0,0.0,6.03,29.9,471.2,0.1726,1.0,3.459,3.55
Female,0.0,0.0,6.08,67.2,326.9,0.2545,0.929,3.091,2.9
Male,0.0,1.0,4.8,104.4,456.4,0.4675,0.5,3.421,2.919
Male,0.0,0.0,7.59,18.3,437.7,0.0863,0.536,3.709,3.443
Male,1.0,0.0,7.92,59.1,445.5,0.8942,0.964,3.897,4.0
Female,0.0,0.0,7.27,57.7,355.9,0.2523,0.893,3.726,3.733
Female,0.0,0.0,7.21,27.4,333.4,0.1722,1.0,3.893,3.833
Female,0.0,0.0,6.66,87.1,425.1,0.5901,0.714,3.72,3.567
Female,1.0,1.0,7.86,12.6,303.8,0.0285,1.0,3.544,3.518
Female,0.0,0.0,8.12,42.1,282.5,0.0045,1.0,3.8,3.767
Female,0.0,0.0,7.68,19.9,335.2,0.1524,0.464,3.317,3.233
Female,0.0,0.0,6.79,12.4,387.3,0.0754,0.929,3.727,3.6
Female,1.0,0.0,6.75,47.4,571.2,0.2033,0.929,2.31,3.377
Female,0.0,0.0,6.89,12.4,376.9,0.101,1.0,3.75,3.744
Female,1.0,0.0,6.25,23.4,419.3,0.2151,0.964,2.25,2.871
Male,0.0,0.0,5.49,39.6,600.0,1.8361,0.607,3.27,2.894
Female,0.0,0.0,7.17,35.0,296.4,0.0507,1.0,4.0,3.967
Female,0.0,1.0,7.46,36.3,315.1,0.0733,0.929,2.638,3.483
Male,0.0,0.0,6.14,88.8,537.7,1.4327,0.75,2.9,3.267
Male,0.0,0.0,5.89,52.6,476.3,0.4664,0.929,3.881,4.0
Male,0.0,0.0,6.48,46.0,367.4,0.6091,1.0,3.88,3.667
Male,1.0,0.0,6.99,51.1,373.3,0.1292,0.679,3.926,3.889
Female,0.0,0.0,7.25,30.4,319.8,0.0695,1.0,3.645,3.831
Female,0.0,1.0,6.48,40.9,384.3,0.5101,1.0,3.3,3.4
Female,0.0,0.0,6.24,43.7,381.4,0.1838,0.964,3.911,3.8
Male,0.0,0.0,8.1,19.9,425.1,0.6562,0.25,3.53,3.733
Female,0.0,0.0,6.74,59.5,327.2,1.2342,0.286,2.609,2.867
Male,1.0,1.0,6.9,26.9,380.7,0.1428,0.964,3.587,3.65
Male,0.0,1.0,6.73,63.7,430.4,0.3176,0.536,2.983,2.933
Female,0.0,0.0,7.26,20.9,434.0,1.3332,0.821,3.2,2.9
Female,0.0,0.0,7.29,25.0,318.4,0.154,0.786,3.08,3.633
Male,1.0,0.0,6.52,36.3,396.6,0.1384,0.607,2.738,2.35
Male,0.0,0.0,7.92,49.9,307.2,0.073,0.964,3.8,3.767
Male,1.0,1.0,5.86,111.2,376.3,0.0575,0.964,3.682,3.95
Male,1.0,0.0,7.33,29.9,280.1,0.0911,1.0,3.609,3.731
Male,1.0,0.0,6.04,82.6,319.6,0.3702,0.75,2.948,2.64
